date,value
2025-03-30,1478.7
2025-03-29,1625.64
2025-03-28,1625.64
2025-03-27,1625.64
2025-03-26,1625.64
2025-03-25,1602.99
2025-03-24,1625.64
2025-03-23,1625.64
2025-03-22,1625.64
2025-03-21,1625.64
2025-03-20,1625.64
2025-03-19,1626.46
2025-03-18,1625.64
2025-03-17,1630.51
2025-03-16,1630.51
2025-03-15,1630.51
2025-03-14,1630.51
2025-03-13,1630.51
2025-03-12,1647.32
2025-03-11,1647.32
2025-03-10,1644.72
2025-03-09,1577.98
2025-03-08,1646.59
2025-03-07,1646.59
2025-03-06,1645.99
2025-03-05,1646.59
2025-03-04,1505.96
2025-03-03,1648.34
2025-03-02,1652.25
2025-03-01,1652.25
2025-02-28,1651.28
2025-02-27,1651.28
2025-02-26,1651.28
2025-02-25,1651.28
2025-02-24,1651.28
2025-02-23,1657.17
2025-02-22,1657.17
2025-02-21,1612.25
2025-02-20,1665.55
2025-02-19,1665.55
2025-02-18,1665.55
2025-02-17,1666.05
2025-02-16,1666.05
2025-02-15,1666.05
2025-02-14,1623.72
2025-02-13,1666.05
2025-02-12,1671.41
2025-02-11,1671.41
2025-02-10,1671.41
2025-02-09,1671.41
2025-02-08,1673.58
2025-02-07,1673.58
2025-02-06,1680
2025-02-05,1680
2025-02-04,1634.43
2025-02-03,1656.73
2025-02-02,1680
2025-02-01,1680
2025-01-31,1689.03
2025-01-30,1554.76
2025-01-29,1689.03
2025-01-28,1689.03
2025-01-27,1689.03
2025-01-26,1689.03
2025-01-25,1638.36
2025-01-24,1696.95
2025-01-23,1689.03
2025-01-22,1531.1
2025-01-21,1689.03
2025-01-20,1695.3
2025-01-19,1695.3
2025-01-18,1605.02
2025-01-17,1695.3
2025-01-16,1695.3
2025-01-15,1695.3
2025-01-14,1575.17
2025-01-13,1695.3
2025-01-12,1695.3
2025-01-11,1695.3
2025-01-10,1700.76
2025-01-09,1695.3
2025-01-08,1700.04
2025-01-07,1695.3
2025-01-06,1635.15
2025-01-05,1709.04
2025-01-04,1695.3
2025-01-03,1716.29
2025-01-02,1716.29
