type,date,value
FAT_PERCENT,"2025-03-30 12:09:03",23
FAT_FREE_MASS,"2025-03-30 12:09:03",61
"Fat Free Percent","2025-03-30 12:09:03",77
MUSCLE_PERCENT,"2025-03-30 12:09:03",73
BONE_PERCENT,"2025-03-30 12:09:03",4
WATER_PERCENT,"2025-03-30 12:09:03",52
FAT_PERCENT,"2025-03-30 11:59:41",23
FAT_FREE_MASS,"2025-03-30 11:59:41",61
"Fat Free Percent","2025-03-30 11:59:41",77
MUSCLE_PERCENT,"2025-03-30 11:59:41",73
BONE_PERCENT,"2025-03-30 11:59:41",4
WATER_PERCENT,"2025-03-30 11:59:41",52
FAT_PERCENT,"2025-03-30 06:04:53",23
FAT_FREE_MASS,"2025-03-30 06:04:53",61
"Fat Free Percent","2025-03-30 06:04:53",77
MUSCLE_PERCENT,"2025-03-30 06:04:53",73
BONE_PERCENT,"2025-03-30 06:04:53",4
WATER_PERCENT,"2025-03-30 06:04:53",52
FAT_PERCENT,"2025-03-29 14:15:59",21
FAT_FREE_MASS,"2025-03-29 14:15:59",62
"Fat Free Percent","2025-03-29 14:15:59",79
MUSCLE_PERCENT,"2025-03-29 14:15:59",75
BONE_PERCENT,"2025-03-29 14:15:59",4
WATER_PERCENT,"2025-03-29 14:15:59",54
FAT_PERCENT,"2025-03-29 09:40:10",23
FAT_FREE_MASS,"2025-03-29 09:40:10",61
"Fat Free Percent","2025-03-29 09:40:10",77
MUSCLE_PERCENT,"2025-03-29 09:40:10",73
BONE_PERCENT,"2025-03-29 09:40:10",4
WATER_PERCENT,"2025-03-29 09:40:10",52
FAT_PERCENT,"2025-03-28 08:35:21",24
FAT_FREE_MASS,"2025-03-28 08:35:21",61
"Fat Free Percent","2025-03-28 08:35:21",76
MUSCLE_PERCENT,"2025-03-28 08:35:21",73
BONE_PERCENT,"2025-03-28 08:35:21",4
WATER_PERCENT,"2025-03-28 08:35:21",52
FAT_PERCENT,"2025-03-27 09:41:17",23
FAT_FREE_MASS,"2025-03-27 09:41:17",61
"Fat Free Percent","2025-03-27 09:41:17",77
MUSCLE_PERCENT,"2025-03-27 09:41:17",73
BONE_PERCENT,"2025-03-27 09:41:17",4
WATER_PERCENT,"2025-03-27 09:41:17",52
FAT_PERCENT,"2025-03-26 09:36:16",23
FAT_FREE_MASS,"2025-03-26 09:36:16",61
"Fat Free Percent","2025-03-26 09:36:16",77
MUSCLE_PERCENT,"2025-03-26 09:36:16",73
BONE_PERCENT,"2025-03-26 09:36:16",4
WATER_PERCENT,"2025-03-26 09:36:16",53
FAT_PERCENT,"2025-03-25 12:16:04",21
FAT_FREE_MASS,"2025-03-25 12:16:04",63
"Fat Free Percent","2025-03-25 12:16:04",79
MUSCLE_PERCENT,"2025-03-25 12:16:04",75
BONE_PERCENT,"2025-03-25 12:16:04",4
WATER_PERCENT,"2025-03-25 12:16:04",54
FAT_PERCENT,"2025-03-25 08:14:29",23
FAT_FREE_MASS,"2025-03-25 08:14:29",62
"Fat Free Percent","2025-03-25 08:14:29",77
MUSCLE_PERCENT,"2025-03-25 08:14:29",73
BONE_PERCENT,"2025-03-25 08:14:29",4
WATER_PERCENT,"2025-03-25 08:14:29",52
FAT_PERCENT,"2025-03-24 08:21:52",23
FAT_FREE_MASS,"2025-03-24 08:21:52",62
"Fat Free Percent","2025-03-24 08:21:52",77
MUSCLE_PERCENT,"2025-03-24 08:21:52",74
BONE_PERCENT,"2025-03-24 08:21:52",4
WATER_PERCENT,"2025-03-24 08:21:52",53
FAT_PERCENT,"2025-03-23 08:07:21",23
FAT_FREE_MASS,"2025-03-23 08:07:21",61
"Fat Free Percent","2025-03-23 08:07:21",77
MUSCLE_PERCENT,"2025-03-23 08:07:21",73
BONE_PERCENT,"2025-03-23 08:07:21",4
WATER_PERCENT,"2025-03-23 08:07:21",52
FAT_PERCENT,"2025-03-22 09:52:17",23
