start,duration,value
2025-03-31T02:44:21+02:00,[60],[61.673]
2025-03-31T02:44:20+02:00,[60],[61.657]
2025-03-31T02:44:16+02:00,[60],[61.605]
2025-03-31T02:44:15+02:00,[60],[61.596]
2025-03-31T02:44:11+02:00,[60],[61.572]
2025-03-31T02:44:10+02:00,[60],[61.57]
2025-03-31T02:44:06+02:00,[60],[61.578]
2025-03-31T02:44:05+02:00,[60],[61.584]
2025-03-31T02:44:01+02:00,[60],[61.623]
2025-03-31T02:44:00+02:00,[60],[61.637]
2025-03-31T02:43:56+02:00,[60],[61.712]
2025-03-31T02:43:55+02:00,[60],[61.736]
2025-03-31T02:43:51+02:00,[60],[61.849]
2025-03-31T02:43:47+02:00,[60],[61.975]
2025-03-31T02:43:45+02:00,[60],[62.039]
2025-03-31T02:43:42+02:00,[60],[62.131]
2025-03-31T02:43:39+02:00,[60],[62.199]
2025-03-31T02:43:36+02:00,[60],[62.238]
2025-03-31T02:43:33+02:00,[60],[62.259]
2025-03-31T02:43:31+02:00,[60],[62.264]
2025-03-31T02:43:27+02:00,[60],[62.272]
2025-03-31T02:43:25+02:00,[60],[62.286]
2025-03-31T02:43:21+02:00,[60],[62.335]
2025-03-31T02:43:20+02:00,[60],[62.348]
2025-03-31T02:43:15+02:00,[60],[62.394]
2025-03-31T02:43:09+02:00,[60],[62.413]
2025-03-31T02:43:04+02:00,[60],[62.454]
2025-03-31T02:42:59+02:00,[60],[62.58]
2025-03-31T02:42:54+02:00,[60],[62.782]
2025-03-31T02:42:52+02:00,[60],[62.885]
2025-03-31T02:42:48+02:00,[60],[63.112]
2025-03-31T02:42:46+02:00,[60],[63.221]
2025-03-31T02:42:42+02:00,[60],[63.381]
2025-03-31T02:42:40+02:00,[60],[63.412]
2025-03-31T02:42:36+02:00,[60],[63.364]
2025-03-31T02:42:34+02:00,[60],[63.296]
2025-03-31T02:42:31+02:00,[60],[63.169]
2025-03-31T02:42:29+02:00,[60],[63.084]
2025-03-31T02:42:26+02:00,[60],[62.974]
2025-03-31T02:42:24+02:00,[60],[62.916]
2025-03-31T02:42:21+02:00,[60],[62.853]
2025-03-31T02:42:19+02:00,[60],[62.827]
2025-03-31T02:42:16+02:00,[60],[62.815]
2025-03-31T02:42:14+02:00,[60],[62.826]
2025-03-31T02:42:11+02:00,[60],[62.868]
2025-03-31T02:42:09+02:00,[60],[62.91]
2025-03-31T02:42:06+02:00,[60],[62.988]
2025-03-31T02:42:04+02:00,[60],[63.048]
2025-03-31T02:42:01+02:00,[60],[63.145]
2025-03-31T02:41:59+02:00,[60],[63.212]
2025-03-31T02:41:56+02:00,[60],[63.309]
2025-03-31T02:41:54+02:00,[60],[63.37]
2025-03-31T02:41:51+02:00,[60],[63.456]
2025-03-31T02:41:49+02:00,[60],[63.507]
2025-03-31T02:41:46+02:00,[60],[63.572]
2025-03-31T02:41:44+02:00,[60],[63.608]
2025-03-31T02:41:41+02:00,[60],[63.646]
2025-03-31T02:41:39+02:00,[60],[63.657]
2025-03-31T02:41:36+02:00,[60],[63.655]
2025-03-31T02:41:34+02:00,[60],[63.642]
2025-03-31T02:41:31+02:00,[60],[63.612]
2025-03-31T02:41:29+02:00,[60],[63.586]
2025-03-31T02:41:25+02:00,[60],[63.522]
2025-03-31T02:41:24+02:00,[60],[63.505]
2025-03-31T02:41:18+02:00,[60],[63.42]
2025-03-31T02:41:12+02:00,[60],[63.399]
2025-03-31T02:41:06+02:00,[60],[63.441]
2025-03-31T02:41:00+02:00,[60],[63.514]
2025-03-31T02:40:55+02:00,[60],[63.579]
2025-03-31T02:40:52+02:00,[60],[63.624]
2025-03-31T02:40:49+02:00,[60],[63.676]
2025-03-31T02:40:46+02:00,[60],[63.736]
2025-03-31T02:40:43+02:00,[60],[63.796]
2025-03-31T02:40:40+02:00,[60],[63.852]
2025-03-31T02:40:37+02:00,[60],[63.9]
2025-03-31T02:40:34+02:00,[60],[63.938]
2025-03-31T02:40:31+02:00,[60],[63.961]
2025-03-31T02:40:28+02:00,[60],[63.97]
2025-03-31T02:40:25+02:00,[60],[63.97]
2025-03-31T02:40:22+02:00,[60],[63.965]
2025-03-31T02:40:17+02:00,[60],[63.959]
2025-03-31T02:40:12+02:00,[60],[63.98]
2025-03-31T02:40:09+02:00,[60],[64.016]
2025-03-31T02:40:06+02:00,[60],[64.071]
2025-03-31T02:40:03+02:00,[60],[64.146]
2025-03-31T02:39:58+02:00,[60],[64.31]
2025-03-31T02:39:53+02:00,[60],[64.516]
2025-03-31T02:39:48+02:00,[60],[64.736]
2025-03-31T02:39:43+02:00,[60],[64.941]
2025-03-31T02:39:38+02:00,[60],[65.101]
2025-03-31T02:39:34+02:00,[60],[65.193]
2025-03-31T02:39:29+02:00,[60],[65.269]
2025-03-31T02:39:24+02:00,[60],[65.312]
2025-03-31T02:39:19+02:00,[60],[65.336]
2025-03-31T02:39:18+02:00,[60],[65.339]
2025-03-31T02:39:13+02:00,[60],[65.345]
2025-03-31T02:39:12+02:00,[60],[65.345]
2025-03-31T02:39:06+02:00,[60],[65.339]
2025-03-31T02:39:01+02:00,[60],[65.328]
2025-03-31T02:38:55+02:00,[60],[65.319]
