start,duration,value
2017-09-04T04:25:07+02:00,[60],[1.372]
2017-09-04T04:55:29+02:00,"[60,60,60,60,60,60,60,60]","[1.149,1.283,1.84,1,1.959,3.016,2.845,1.723]"
2017-09-04T05:13:29+02:00,[60],[1.127]
2017-09-04T05:26:29+02:00,[60],[1.184]
2017-09-04T05:41:29+02:00,[60],[1.253]
2017-09-04T06:17:29+02:00,[60],[1.911]
2017-09-04T06:27:29+02:00,"[60,60]","[1.749,1.649]"
2017-09-04T10:53:02+02:00,"[60,60]","[1.886,1.522]"
2017-09-04T10:58:00+02:00,"[60,60,60,60]","[1.133,1.197,1.626,1.332]"
2017-09-04T11:06:00+02:00,"[60,60,60,60,60]","[1.965,1.168,1.489,1.177,1.528]"
2017-09-04T11:16:00+02:00,[60],[1.781]
2017-09-04T11:27:00+02:00,"[60,60,60]","[1.197,1.132,1.326]"
2017-09-04T12:10:00+02:00,"[60,60]","[1.158,2.977]"
2017-09-04T19:21:22+02:00,"[60,60,60]","[1.184,1.964,1.156]"
2017-09-03T17:06:10+02:00,[60],[1.136]
2016-11-06T22:00:05+01:00,[60],[1.184]
2016-11-06T22:02:05+01:00,"[60,60,60]","[2.393,3.646,2.566]"
2016-11-06T22:09:05+01:00,[60],[2.356]
2016-11-06T22:21:05+01:00,"[60,60]","[1.26,1.216]"
2016-11-06T22:25:05+01:00,[60],[1.183]
2016-11-06T22:28:05+01:00,"[60,60]","[1.14,2.044]"
2016-11-06T22:32:05+01:00,"[60,60]","[1.995,1.468]"
2016-11-06T22:55:05+01:00,"[60,60]","[1.808,1.973]"
2016-11-06T23:01:05+01:00,"[60,60,60,60,60]","[2.857,3.493,2.567,3.359,2.58]"
2016-11-07T16:35:05+01:00,[60],[3.104]
2016-11-07T16:40:25+01:00,"[60,60,60]","[2.31,3.917,3.433]"
2016-11-07T16:47:25+01:00,"[60,60,60,60]","[3.987,3.897,3.704,3.564]"
2016-11-06T13:44:18+01:00,[60],[2.241]
2016-11-06T14:33:18+01:00,"[60,60,60]","[1.199,1.2,1.282]"
