start,duration,value
2025-03-31T05:39:06+02:00,[54],[1.683]
2025-03-31T05:38:48+02:00,[163],[1.581]
2025-03-31T04:05:23+02:00,[3],[1]
2025-03-31T03:01:47+02:00,[3],[2.316]
2025-03-31T02:58:27+02:00,[13],[2.519]
2025-03-31T02:46:17+02:00,[523],[1.184]
2025-03-31T02:45:00+02:00,[3],[3.194]
2025-03-31T02:42:34+02:00,[59],[1]
2025-03-31T02:41:22+02:00,[44],[1.299]
2025-03-31T02:39:27+02:00,"[59,36]","[1,1]"
2025-03-31T02:35:52+02:00,"[59,59,38]","[1,1,1]"
2025-03-31T02:31:12+02:00,"[59,59,59,59,31]","[1,1,1,1,1]"
2025-03-31T02:28:03+02:00,"[59,59,59]","[1,1,1]"
2025-03-31T02:16:31+02:00,"[599,24]","[3.002,1]"
2025-03-31T02:00:15+02:00,"[599,59,59,49,5,59,59,59,15]","[3.255,1,1,1,2.58,1,1,1,4.089]"
2025-03-31T01:58:01+02:00,"[59,59,10]","[1,1.625,3.501]"
2025-03-31T01:54:08+02:00,"[59,59,59,49,2]","[1,1,1,1,2.316]"
2025-03-31T01:51:09+02:00,"[59,59,59]","[1,1,1]"
2025-03-31T01:39:03+02:00,"[600,59,59]","[3.135,1,1]"
2025-03-31T01:37:03+02:00,"[59,36]","[1,1]"
2025-03-31T01:34:29+02:00,"[3,31,2,59,56]","[17.844,1,4.089,1,1]"
2025-03-31T01:29:06+02:00,"[59,59,59,59,59,15]","[1,1,1,1,1,2.141]"
2025-03-31T01:15:49+02:00,"[59,21,599,59,57]","[1,3.194,2.971,1,1]"
2025-03-31T01:14:48+02:00,[59],[1]
2025-03-31T01:13:21+02:00,[23],[2.889]
2025-03-31T01:13:05+02:00,"[11,2]","[3.513,2.975]"
2025-03-31T00:10:34+02:00,"[599,59,59,59,59,59,59,59,59,59,36,2,59,59,59,59,59,59,59,59,59,599,600,59,59,5,600,59]","[3.246,1,1,1,1,1,1,1,1,1,1,4.089,1,1,1,1,1,1,1,1,1,2.96,3.038,1,1,3.369,2.893,1]"
2025-03-31T00:10:26+02:00,[8],[3.468]
2025-03-31T00:05:21+02:00,"[56,34]","[1.94,2.007]"
2025-03-30T23:51:19+02:00,[259],[1.834]
2025-03-30T23:54:12+02:00,"[59,13]","[1,1.304]"
2025-03-30T23:52:07+02:00,[28],[1.517]
2025-03-30T23:51:33+02:00,[6],[2.536]
2025-03-30T23:31:19+02:00,[2],[1]
2025-03-30T21:14:02+02:00,[3],[17.844]
2025-03-30T21:12:55+02:00,[3],[2.316]
2025-03-30T21:11:49+02:00,"[2,3]","[16.16,1.878]"
2025-03-30T21:11:33+02:00,[13],[1.911]
2025-03-30T20:55:43+02:00,[7],[2.881]
2025-03-30T15:38:59+02:00,[56],[1]
2025-03-30T15:24:22+02:00,[141],[1.252]
2025-03-30T08:27:59+02:00,[323],[1.424]
2025-03-30T08:21:04+02:00,"[59,31,59,59,59,7,59,8]","[1,1,1,1,1,3.257,1,2.81]"
2025-03-30T08:20:00+02:00,[59],[1]
2025-03-30T08:16:25+02:00,"[59,18,59,59,10]","[1,3.048,1,1,2.975]"
2025-03-30T08:13:26+02:00,"[58,59,59]","[1,1,1]"
2025-03-30T08:12:55+02:00,[25],[1]
2025-03-30T08:11:43+02:00,[18],[3.121]
2025-03-30T07:32:18+02:00,"[59,59,51,59,59,59,59,59,38,59,59,59,51,600,59,20,3,59,59,59,58,59,59,59,59,51,6,59,59,58,3,59,59,59,59]","[1,1,1,1,1,1,1,1,1,1,1,1,1,2.996,1,3.304,2.755,1,1,1,1,1,1,1,1,1,2.975,1,1,1,2.755,1,1,1,1]"
2025-03-30T07:30:45+02:00,"[59,29]","[1,1]"
2025-03-30T07:28:48+02:00,[23],[3.06]
2025-03-30T07:25:02+02:00,"[3,59,59,51]","[2.755,1,1,1]"
2025-03-30T07:19:31+02:00,"[13,59,59,59,59,59,18]","[4.208,1,1,1,1,1,3.194]"
2025-03-30T07:18:17+02:00,[36],[1]
2025-03-30T07:15:00+02:00,"[59,18,2,59,44]","[1,3.048,2.975,1,1]"
2025-03-30T06:15:46+02:00,"[599,600,28,3,599,59,59,59,59,59,59,23,600,59,5,5,59,59,59,59,58,59,59,3,59,59,59,54]","[3.286,2.988,1,2.755,3,1,1,1,1,1,1,3.289,3.148,1,3.106,3.369,1,1,1,1,1,1,1,3.194,1,1,1,1]"
2025-03-30T06:14:21+02:00,[3],[4.089]
2025-03-30T06:12:15+02:00,"[3,5]","[10.464,2.053]"
2025-03-30T06:05:18+02:00,"[59,59,59,58,6,59,58,44]","[1,1,1,1,2.975,1.87,1.772,1]"
2025-03-30T06:02:44+02:00,[20],[2.843]
2025-03-30T05:59:21+02:00,[3],[2.316]
2025-03-30T05:49:40+02:00,[2],[4.089]
2025-03-30T05:48:18+02:00,[43],[1]
2025-03-30T05:47:11+02:00,[10],[1.921]
2025-03-30T05:47:03+02:00,[6],[1]
2025-03-30T05:41:07+02:00,[5],[4.398]
2025-03-30T05:37:29+02:00,"[59,31]","[1.402,2.189]"
2025-03-30T05:36:59+02:00,[12],[1.987]
2025-03-30T05:35:21+02:00,[16],[2.728]
2025-03-30T05:32:06+02:00,[16],[1.823]
2025-03-30T05:30:50+02:00,[20],[1.658]
2025-03-30T05:29:25+02:00,[3],[10.464]
2025-03-30T05:26:38+02:00,[3],[1.878]
2025-03-30T05:22:50+02:00,[11],[2.077]
2025-03-30T05:22:02+02:00,[5],[2.316]
2025-03-30T05:21:23+02:00,[10],[2.053]
2025-03-30T05:20:42+02:00,[3],[2.755]
2025-03-30T04:40:38+02:00,[528],[1.429]
2025-03-30T00:32:47+01:00,[15],[3.194]
2025-03-30T00:31:44+01:00,[2],[1]
2025-03-29T23:50:23+01:00,[3],[10.464]
2025-03-29T22:46:29+01:00,[8],[1]
2025-03-29T22:33:20+01:00,[118],[1.937]
2025-03-29T21:50:37+01:00,[3],[2.755]
2025-03-29T21:49:07+01:00,[3],[16.16]
2025-03-29T20:03:14+01:00,[8],[2.975]
2025-03-29T17:54:43+01:00,[5],[4.707]
2025-03-29T17:43:16+01:00,[108],[1.317]
2025-03-29T05:35:32+01:00,[38],[2.143]
2025-03-29T06:26:21+01:00,[2],[4.089]
2025-03-29T05:36:35+01:00,[16],[1.494]
2025-03-29T04:45:43+01:00,[44],[1]
2025-03-29T04:44:24+01:00,[20],[2.251]
2025-03-29T04:43:02+01:00,[36],[1]
2025-03-29T04:37:08+01:00,"[59,59,59,59,59,46]","[1,1,1,1,1,1]"
2025-03-29T04:35:49+01:00,[30],[2.58]
2025-03-29T04:34:14+01:00,[51],[1.619]
2025-03-29T04:33:12+01:00,[49],[1]
2025-03-29T04:27:31+01:00,"[59,59,59,26,59,33]","[1,1,1,1,1,2.516]"
2025-03-29T04:25:18+01:00,"[59,59,10]","[1,1,2.975]"
2025-03-29T03:58:37+01:00,"[599,600,59,59,59,59,59,58,44,3]","[2.894,3.049,1,1,1,1,1,1,1,2.755]"
2025-03-29T03:54:36+01:00,"[59,48]","[1,1]"
2025-03-29T03:53:14+01:00,[46],[1]
2025-03-29T03:35:48+01:00,"[59,59,33,3,3,58,59,59,59,41,59,3,5,59,59,31,58,59,59,59,59,41,3,59]","[1,1,1,4.089,3.194,1,1,1,1,1,1,4.089,2.58,1,1,1,1,1,1,1,1,1,2.316,1]"
