start,duration,value
2017-09-04T19:21:22+02:00,"[60,60,60]","[0,0,0]"
2017-09-04T12:10:00+02:00,"[60,60]","[0,5.87]"
2017-09-04T11:27:00+02:00,"[60,60,60]","[0,0,0]"
2017-09-04T11:16:00+02:00,[60],[0]
2017-09-04T11:06:00+02:00,"[60,60,60,60,60]","[0,0,2.83,0,0]"
2017-09-04T10:58:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2017-09-04T10:53:02+02:00,"[60,60]","[0,0]"
2017-09-04T06:27:29+02:00,"[60,60]","[0,5.74]"
2017-09-04T06:17:29+02:00,[60],[0]
2017-09-04T05:41:29+02:00,[60],[0]
2017-09-04T05:26:29+02:00,[60],[0]
2017-09-04T05:13:29+02:00,[60],[0]
2017-09-04T04:55:29+02:00,"[60,60,60,60,60,60,60,60]","[0,0,0,2.83,0,5.14,0,0]"
2017-09-04T04:25:07+02:00,[60],[0]
2017-09-03T17:06:10+02:00,[60],[0]
2016-11-07T16:47:25+01:00,"[60,60,60,60]","[0,0.26,0,0]"
2016-11-07T16:40:25+01:00,"[60,60,60]","[0,0,3.72]"
2016-11-07T16:35:05+01:00,[60],[0]
2016-11-06T23:01:05+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2016-11-06T22:55:05+01:00,"[60,60]","[0,2.33]"
2016-11-06T22:32:05+01:00,"[60,60]","[0,0]"
2016-11-06T22:28:05+01:00,"[60,60]","[0,3.68]"
2016-11-06T22:25:05+01:00,[60],[0]
2016-11-06T22:21:05+01:00,"[60,60]","[0,0]"
2016-11-06T22:09:05+01:00,[60],[0]
2016-11-06T22:02:05+01:00,"[60,60,60]","[0,0,0]"
2016-11-06T22:00:05+01:00,[60],[0]
2016-11-06T16:56:18+01:00,[60],[0]
2016-11-06T16:52:18+01:00,[60],[0]
2016-11-06T16:20:18+01:00,[60],[0]
2016-11-06T16:17:18+01:00,"[60,60]","[0,0]"
2016-11-06T15:25:18+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0]"
2016-11-06T15:21:18+01:00,[60],[0]
2016-11-06T15:18:18+01:00,"[60,60]","[0,0]"
2016-11-06T15:15:18+01:00,[60],[0]
2016-11-06T14:33:18+01:00,"[60,60,60]","[0,0.97,0]"
2016-11-06T13:44:18+01:00,[60],[0]
2016-11-04T21:43:19+01:00,[60],[0]
2016-11-04T21:35:19+01:00,"[60,60]","[0,11.83]"
2016-11-04T20:27:19+01:00,"[60,60,60]","[8.5,0,1.58]"
2016-11-04T20:18:19+01:00,"[60,60,60,60,60,60]","[0.09,0,0,0,0,0]"
2016-11-04T19:56:23+01:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2016-11-04T14:44:23+01:00,[60],[0]
2016-11-04T14:35:23+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2016-11-04T13:59:23+01:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2016-11-04T13:56:23+01:00,[60],[0]
2016-11-04T13:48:23+01:00,"[60,60,60,60,60,60]","[0,0.23,0.83,0,0,0]"
2016-11-04T13:36:23+01:00,"[60,60,60,60]","[0,0,0,0]"
2016-11-04T12:51:35+01:00,"[60,60]","[0,0]"
2016-11-04T02:38:35+01:00,"[60,60,60]","[0,2.52,0]"
2016-11-04T02:28:35+01:00,"[60,60]","[0,0]"
2016-11-03T22:58:35+01:00,[60],[0]
2016-11-03T22:48:35+01:00,"[60,60]","[0,4.9]"
2016-11-03T22:05:35+01:00,"[60,60,60,60,60,60,60,60]","[0,3.21,0,0,0,0,0,0]"
2016-11-03T13:19:35+01:00,"[60,60,60,60,60,60,60,60,60]","[0,0,0.73,2.95,0,0,0,0,0]"
2016-11-03T13:11:35+01:00,"[60,60,60]","[0,0,0]"
2016-11-03T00:27:46+01:00,"[60,60,60]","[0,3.59,0]"
2016-11-02T23:30:46+01:00,"[60,60,60,60,60,60,60,60]","[0,3.19,0.06,0,0,0,0,0]"
2016-11-02T18:57:46+01:00,[60],[0]
2016-11-02T14:32:46+01:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2016-11-02T14:24:46+01:00,"[60,60,60,60,60,60]","[0,0,0,0,0,3.74]"
2016-11-02T14:13:46+01:00,"[60,60,60,60]","[0,0,0,0]"
2016-11-01T23:42:46+01:00,"[60,60,60,60,60]","[0.58,2.9,0,0,0]"
2016-11-01T23:30:46+01:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2016-11-01T23:26:46+01:00,"[60,60]","[1,0]"
2016-11-01T14:45:46+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2016-11-01T14:41:46+01:00,[60],[0]
2016-11-01T14:34:46+01:00,"[60,60]","[0,4.2]"
2016-11-01T14:30:46+01:00,"[60,60]","[0,0]"
2016-11-01T14:23:53+01:00,[60],[0]
2016-11-01T14:22:26+01:00,[60],[0]
2016-10-31T21:54:26+01:00,"[60,60,60]","[4.51,0,0]"
2016-10-31T21:44:26+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2016-10-31T21:43:29+01:00,[60],[0]
2016-10-31T21:42:29+01:00,[60],[0]
2016-10-31T21:41:00+01:00,[60],[0]
2016-10-31T14:28:03+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,3.94,0,0,0,0,0,0]"
2016-10-31T14:16:03+01:00,"[60,60,60]","[0,0,0]"
2016-10-30T19:59:09+01:00,"[60,60,60,60]","[0,0,0,0]"
2016-10-30T19:55:09+01:00,[60],[3.95]
2016-10-30T19:13:09+01:00,"[60,60]","[0,0]"
2016-10-30T19:11:09+01:00,[60],[0]
2016-10-30T18:57:09+01:00,"[60,60,60]","[0,0,0]"
2016-10-30T18:47:09+01:00,"[60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0]"
2016-10-30T14:19:09+01:00,[60],[0]
2016-10-30T14:16:09+01:00,"[60,60]","[0,0]"
2016-10-30T13:53:09+01:00,"[60,60]","[0,0]"
2016-10-30T12:49:09+01:00,[60],[0]
2016-10-30T12:36:09+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0]"
2016-10-30T12:31:09+01:00,"[60,60,60,60]","[0,0,0,0]"
2016-10-30T10:57:41+01:00,"[60,60]","[0,0]"
2016-10-30T04:13:41+01:00,[60],[0]
2016-10-30T02:14:41+01:00,[60],[0]
2016-09-28T03:19:36+02:00,"[60,60]","[1.66,4.74]"
2016-09-28T02:37:36+02:00,"[60,60,60,60]","[0,0,0,0]"
2016-09-28T02:07:36+02:00,"[60,60,60]","[0,0,0]"
2016-09-27T23:14:36+02:00,"[60,60]","[0,0]"
2016-09-27T22:02:36+02:00,"[60,60,60]","[0,0,0]"
2016-09-27T22:01:37+02:00,[60],[0]
2016-09-27T21:47:37+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2016-09-27T21:16:37+02:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2016-09-27T21:07:38+02:00,[60],[0]
2016-09-27T20:51:38+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2016-09-27T20:03:38+02:00,[60],[0]
2016-09-27T18:29:38+02:00,"[60,60,60]","[0,0,0]"
2016-09-27T18:22:38+02:00,"[60,60,60,60]","[0,0,0,0]"
2016-09-27T18:14:39+02:00,[60],[0]
2016-09-27T18:10:19+02:00,"[60,60,60,60]","[0,0,0,0]"
2016-09-27T16:21:10+02:00,[60],[0]
2016-09-27T16:19:42+02:00,[60],[0]
2016-09-23T00:57:42+02:00,"[60,60,60,60]","[0,0,2.74,0]"
2016-09-23T00:43:42+02:00,[60],[0]
2016-09-23T00:40:42+02:00,"[60,60]","[0,0]"
2016-09-23T00:36:42+02:00,"[60,60]","[0,0]"
2016-09-23T00:28:42+02:00,"[60,60,60]","[0,0,0]"
2016-09-22T23:41:42+02:00,"[60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0]"
2016-09-22T23:17:42+02:00,[60],[0]
2016-09-22T23:02:42+02:00,"[60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0]"
2016-09-22T23:00:42+02:00,[60],[0]
2016-09-22T22:59:42+02:00,[60],[0]
2016-09-22T22:53:42+02:00,"[60,60]","[0,0]"
2016-09-22T22:46:42+02:00,[60],[0]
2016-09-22T22:40:42+02:00,[60],[0]
2016-09-22T22:25:42+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0]"
2016-09-22T22:10:42+02:00,"[60,60,60,60,60]","[0,0,1.79,0,0]"
2016-09-22T22:06:42+02:00,[60],[0]
2016-09-22T21:47:56+02:00,[60],[0]
2016-09-22T21:46:30+02:00,[60],[0]
2016-09-15T00:23:30+02:00,"[60,60]","[2.58,0]"
2016-09-15T00:20:30+02:00,"[60,60]","[0,0]"
2016-09-15T00:06:30+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0]"
2016-09-14T23:42:30+02:00,[60],[0]
2016-09-14T23:40:30+02:00,[60],[0]
2016-09-14T23:33:30+02:00,"[60,60,60,60]","[0,0.06,0,0]"
2016-09-10T06:12:30+02:00,"[60,60,60]","[0,0,2.69]"
2016-09-10T06:03:30+02:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2016-09-10T06:00:30+02:00,[60],[0]
2016-09-10T05:57:30+02:00,"[60,60]","[0,0]"
2016-09-10T04:27:30+02:00,"[60,60]","[0,0]"
2016-09-10T04:20:30+02:00,"[60,60]","[0,0]"
2016-09-06T03:52:37+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2016-09-06T03:48:37+02:00,"[60,60,60]","[0,0,0]"
