start,duration,value
2025-03-31T05:39:06+02:00,[54],[28]
2025-03-31T05:38:48+02:00,[163],[72]
2025-03-31T04:05:23+02:00,[3],[17]
2025-03-31T03:01:47+02:00,[3],[3]
2025-03-31T02:58:27+02:00,[13],[15]
2025-03-31T02:46:17+02:00,[523],[73]
2025-03-31T02:45:00+02:00,[3],[5]
2025-03-31T02:42:34+02:00,[59],[41]
2025-03-31T02:41:22+02:00,[44],[10]
2025-03-31T02:39:27+02:00,"[59,36]","[110,57]"
2025-03-31T02:35:52+02:00,"[59,59,38]","[96,100,58]"
2025-03-31T02:31:12+02:00,"[59,59,59,59,31]","[105,103,99,102,51]"
2025-03-31T02:28:03+02:00,"[59,59,59]","[108,106,101]"
2025-03-31T02:16:31+02:00,"[599,24]","[911,41]"
2025-03-31T02:00:15+02:00,"[599,59,59,49,5,59,59,59,15]","[1026,95,106,76,6,96,102,105,30]"
2025-03-31T01:58:01+02:00,"[59,59,10]","[94,28,19]"
2025-03-31T01:54:08+02:00,"[59,59,59,49,2]","[110,102,102,87,2]"
2025-03-31T01:51:09+02:00,"[59,59,59]","[100,95,102]"
2025-03-31T01:39:03+02:00,"[600,59,59]","[973,85,97]"
2025-03-31T01:37:03+02:00,"[59,36]","[93,63]"
2025-03-31T01:34:29+02:00,"[3,31,2,59,56]","[10,49,4,94,73]"
2025-03-31T01:29:06+02:00,"[59,59,59,59,59,15]","[102,92,76,102,98,13]"
2025-03-31T01:15:49+02:00,"[59,21,599,59,57]","[97,35,897,96,77]"
2025-03-31T01:14:48+02:00,[59],[94]
2025-03-31T01:13:21+02:00,[23],[33]
2025-03-31T01:13:05+02:00,"[11,2]","[21,3]"
2025-03-31T00:10:34+02:00,"[599,59,59,59,59,59,59,59,59,59,36,2,59,59,59,59,59,59,59,59,59,599,600,59,59,5,600,59]","[1022,98,98,97,102,96,96,88,100,93,59,4,50,89,90,95,95,88,92,101,97,892,929,101,94,9,863,87]"
2025-03-31T00:10:26+02:00,[8],[15]
2025-03-31T00:05:21+02:00,"[56,34]","[40,26]"
2025-03-30T23:51:19+02:00,[259],[164]
2025-03-30T23:54:12+02:00,"[59,13]","[41,3]"
2025-03-30T23:52:07+02:00,[28],[11]
2025-03-30T23:51:33+02:00,[6],[7]
2025-03-30T23:31:19+02:00,[2],[10]
2025-03-30T21:14:02+02:00,[3],[10]
2025-03-30T21:12:55+02:00,[3],[3]
2025-03-30T21:11:49+02:00,"[2,3]","[6,2]"
2025-03-30T21:11:33+02:00,[13],[9]
2025-03-30T20:55:43+02:00,[7],[10]
2025-03-30T15:38:59+02:00,[56],[42]
2025-03-30T15:24:22+02:00,[141],[27]
2025-03-30T08:27:59+02:00,[323],[104]
2025-03-30T08:21:04+02:00,"[59,31,59,59,59,7,59,8]","[74,58,105,105,63,12,97,11]"
2025-03-30T08:20:00+02:00,[59],[101]
2025-03-30T08:16:25+02:00,"[59,18,59,59,10]","[104,28,102,98,15]"
2025-03-30T08:13:26+02:00,"[58,59,59]","[105,104,99]"
2025-03-30T08:12:55+02:00,[25],[45]
2025-03-30T08:11:43+02:00,[18],[29]
2025-03-30T07:32:18+02:00,"[59,59,51,59,59,59,59,59,38,59,59,59,51,600,59,20,3,59,59,59,58,59,59,59,59,51,6,59,59,58,3,59,59,59,59]","[93,97,85,98,96,95,92,96,63,102,103,90,74,910,106,35,4,107,96,104,70,101,95,102,105,92,9,102,86,103,4,104,102,104,92]"
2025-03-30T07:30:45+02:00,"[59,29]","[81,45]"
2025-03-30T07:28:48+02:00,[23],[36]
2025-03-30T07:25:02+02:00,"[3,59,59,51]","[4,86,94,78]"
2025-03-30T07:19:31+02:00,"[13,59,59,59,59,59,18]","[27,98,98,95,98,87,30]"
2025-03-30T07:18:17+02:00,[36],[64]
2025-03-30T07:15:00+02:00,"[59,18,2,59,44]","[102,28,3,99,73]"
2025-03-30T06:15:46+02:00,"[599,600,28,3,599,59,59,59,59,59,59,23,600,59,5,5,59,59,59,59,58,59,59,3,59,59,59,54]","[1040,906,43,4,910,95,97,81,108,108,106,40,979,101,8,9,97,100,97,82,97,85,97,5,95,96,95,88]"
2025-03-30T06:14:21+02:00,[3],[6]
2025-03-30T06:12:15+02:00,"[3,5]","[8,4]"
2025-03-30T06:05:18+02:00,"[59,59,59,58,6,59,58,44]","[95,103,73,101,9,39,34,46]"
2025-03-30T06:02:44+02:00,[20],[28]
2025-03-30T05:59:21+02:00,[3],[3]
2025-03-30T05:49:40+02:00,[2],[4]
2025-03-30T05:48:18+02:00,[43],[52]
2025-03-30T05:47:11+02:00,[10],[7]
2025-03-30T05:47:03+02:00,[6],[20]
2025-03-30T05:41:07+02:00,[5],[11]
2025-03-30T05:37:29+02:00,"[59,31]","[18,28]"
2025-03-30T05:36:59+02:00,[12],[9]
2025-03-30T05:35:21+02:00,[16],[21]
2025-03-30T05:32:06+02:00,[16],[10]
2025-03-30T05:30:50+02:00,[20],[10]
2025-03-30T05:29:25+02:00,[3],[8]
2025-03-30T05:26:38+02:00,[3],[2]
2025-03-30T05:22:50+02:00,[11],[9]
2025-03-30T05:22:02+02:00,[5],[5]
2025-03-30T05:21:23+02:00,[10],[8]
2025-03-30T05:20:42+02:00,[3],[4]
2025-03-30T04:40:38+02:00,[528],[172]
2025-03-30T00:32:47+01:00,[15],[25]
2025-03-30T00:31:44+01:00,[2],[9]
2025-03-29T23:50:23+01:00,[3],[8]
2025-03-29T22:46:29+01:00,[8],[21]
2025-03-29T22:33:20+01:00,[118],[84]
2025-03-29T21:50:37+01:00,[3],[4]
2025-03-29T21:49:07+01:00,[3],[9]
2025-03-29T20:03:14+01:00,[8],[12]
2025-03-29T17:54:43+01:00,[5],[12]
2025-03-29T17:43:16+01:00,[108],[26]
2025-03-29T05:35:32+01:00,[38],[33]
2025-03-29T06:26:21+01:00,[2],[4]
2025-03-29T05:36:35+01:00,[16],[6]
2025-03-29T04:45:43+01:00,[44],[44]
2025-03-29T04:44:24+01:00,[20],[19]
2025-03-29T04:43:02+01:00,[36],[47]
2025-03-29T04:37:08+01:00,"[59,59,59,59,59,46]","[108,102,103,65,108,58]"
2025-03-29T04:35:49+01:00,[30],[36]
2025-03-29T04:34:14+01:00,[51],[24]
2025-03-29T04:33:12+01:00,[49],[50]
2025-03-29T04:27:31+01:00,"[59,59,59,26,59,33]","[97,92,99,41,88,38]"
2025-03-29T04:25:18+01:00,"[59,59,10]","[100,103,15]"
2025-03-29T03:58:37+01:00,"[599,600,59,59,59,59,59,58,44,3]","[862,934,103,83,107,103,95,102,68,4]"
2025-03-29T03:54:36+01:00,"[59,48]","[110,78]"
2025-03-29T03:53:14+01:00,[46],[79]
2025-03-29T03:35:48+01:00,"[59,59,33,3,3,58,59,59,59,41,59,3,5,59,59,31,58,59,59,59,59,41,3,59]","[102,99,56,6,5,96,100,100,105,68,79,6,6,93,103,55,103,104,90,105,103,71,3,99]"
2025-03-29T03:11:51+01:00,"[48,8,59,59,59,5,600,586]","[91,14,106,104,102,9,839,823]"
2025-03-29T03:10:31+01:00,[8],[12]
2025-03-29T02:57:12+01:00,"[51,5,600,59,58,24]","[94,10,921,100,94,38]"
2025-03-29T02:55:16+01:00,[34],[47]
2025-03-29T02:54:15+01:00,[41],[71]
2025-03-29T02:05:54+01:00,"[600,58,59,59,23,6,58,54,600,600,599,59,59,59]","[941,105,104,93,40,7,95,91,837,528,709,100,102,91]"
