start,duration,value
2025-03-31T02:42:57+02:00,[2],[3]
2025-03-31T02:42:55+02:00,[2],[3]
2025-03-30T08:28:30+02:00,[2],[3]
2025-03-30T04:44:13+02:00,[2],[3]
2025-03-29T02:29:32+01:00,[2],[3]
2025-03-29T04:43:25+01:00,[2],[3]
2025-03-29T02:29:28+01:00,[2],[3]
2025-03-28T20:52:13+01:00,[2],[3]
2025-03-28T20:11:06+01:00,[2],[3]
2025-03-28T18:56:05+01:00,[28],[3]
2025-03-28T07:27:34+01:00,[2],[3]
2025-03-28T07:27:36+01:00,[2],[3]
2025-03-28T05:08:58+01:00,[2],[3]
2025-03-27T19:40:25+01:00,[2],[3]
2025-03-27T06:03:00+01:00,[2],[3]
2025-03-26T17:45:08+01:00,[5],[3]
2025-03-26T17:45:02+01:00,[2],[3]
2025-03-26T04:39:46+01:00,[2],[3]
2025-03-26T02:01:36+01:00,[5],[3]
2025-03-26T04:39:41+01:00,[2],[3]
2025-03-26T02:01:34+01:00,[2],[3]
2025-03-25T06:51:37+01:00,[2],[3]
2025-03-25T01:52:46+01:00,[2],[3]
2025-03-24T20:51:57+01:00,[2],[3]
2025-03-24T06:06:32+01:00,[2],[3]
2025-03-24T02:23:14+01:00,[2],[3]
2025-03-24T00:23:08+01:00,[2],[3]
2025-03-24T00:23:04+01:00,[7],[3]
2025-03-23T21:20:09+01:00,[2],[3]
2025-03-23T20:29:20+01:00,[2],[3]
2025-03-23T21:20:11+01:00,[2],[3]
2025-03-23T20:29:18+01:00,[2],[3]
2025-03-23T16:23:22+01:00,[2],[3]
2025-03-23T06:28:30+01:00,[2],[3]
2025-03-23T03:10:02+01:00,[2],[3]
2025-03-23T02:47:29+01:00,[28],[3]
2025-03-23T01:27:42+01:00,[2],[3]
2025-03-23T02:47:28+01:00,[7],[3]
2025-03-23T01:27:41+01:00,[2],[3]
2025-03-22T23:35:29+01:00,[295],[6]
2025-03-22T22:12:58+01:00,[2],[3]
2025-03-22T18:08:14+01:00,[2],[3]
2025-03-22T05:54:20+01:00,[2],[3]
2025-03-22T04:34:28+01:00,[25],[6]
2025-03-22T02:54:09+01:00,[2],[3]
