start,duration,value
2017-09-04T19:21:22+02:00,"[60,60,60]","[0.22,1.151,0.187]"
2017-09-04T12:10:00+02:00,"[60,60]","[0.189,2.36]"
2017-09-04T11:27:00+02:00,"[60,60,60]","[0.235,0.157,0.389]"
2017-09-04T11:16:00+02:00,[60],[0.932]
2017-09-04T11:06:00+02:00,"[60,60,60,60,60]","[1.152,0.201,0.584,0.211,0.63]"
2017-09-04T10:58:00+02:00,"[60,60,60,60]","[0.158,0.235,0.747,0.397]"
2017-09-04T10:53:02+02:00,"[60,60]","[1.058,0.623]"
2017-09-04T06:27:29+02:00,"[60,60]","[0.894,0.775]"
2017-09-04T06:17:29+02:00,[60],[1.088]
2017-09-04T05:41:29+02:00,[60],[0.302]
2017-09-04T05:26:29+02:00,[60],[0.22]
2017-09-04T05:13:29+02:00,[60],[0.152]
2017-09-04T04:55:29+02:00,"[60,60,60,60,60,60,60,60]","[0.178,0.338,1.003,0,1.144,2.407,2.202,0.863]"
2017-09-04T04:25:07+02:00,[60],[0.444]
2017-09-03T17:06:10+02:00,[60],[0.162]
2016-11-07T16:47:25+01:00,"[60,60,60,60]","[3.531,3.424,3.196,3.031]"
2016-11-07T16:40:25+01:00,"[60,60,60]","[1.548,3.449,2.876]"
2016-11-07T16:35:05+01:00,[60],[2.488]
2016-11-06T23:01:05+01:00,"[60,60,60,60,60]","[2.195,2.947,1.853,2.788,1.868]"
2016-11-06T22:55:05+01:00,"[60,60]","[0.955,1.151]"
2016-11-06T22:32:05+01:00,"[60,60]","[1.176,0.553]"
2016-11-06T22:28:05+01:00,"[60,60]","[0.165,1.235]"
2016-11-06T22:25:05+01:00,[60],[0.216]
2016-11-06T22:21:05+01:00,"[60,60]","[0.308,0.256]"
2016-11-06T22:09:05+01:00,[60],[1.604]
2016-11-06T22:02:05+01:00,"[60,60,60]","[1.646,3.128,1.851]"
2016-11-06T22:00:05+01:00,[60],[0.218]
2016-11-06T16:56:18+01:00,[60],[0.756]
2016-11-06T16:52:18+01:00,[60],[2.383]
2016-11-06T16:20:18+01:00,[60],[1.049]
2016-11-06T16:17:18+01:00,"[60,60]","[1.181,0.308]"
2016-11-06T15:25:18+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[2.203,2.779,3.1,2.725,2.876,2.674,0.941,0.305,0.245,0.211,0.262]"
2016-11-06T15:21:18+01:00,[60],[0.315]
2016-11-06T15:18:18+01:00,"[60,60]","[1.383,1.677]"
2016-11-06T15:15:18+01:00,[60],[0.131]
2016-11-06T14:33:18+01:00,"[60,60,60]","[0.239,0.24,0.337]"
2016-11-06T13:44:18+01:00,[60],[1.486]
2016-11-04T21:43:19+01:00,[60],[0.168]
2016-11-04T21:35:19+01:00,"[60,60]","[0.551,0]"
2016-11-04T20:27:19+01:00,"[60,60,60]","[0.156,0.122,0]"
2016-11-04T20:18:19+01:00,"[60,60,60,60,60,60]","[1.358,2.872,2.98,2.943,1.777,0.333]"
2016-11-04T19:56:23+01:00,"[60,60,60,60,60,60]","[0.202,0.448,2.31,2.773,1.505,1.722]"
2016-11-04T14:44:23+01:00,[60],[0.455]
2016-11-04T14:35:23+01:00,"[60,60,60,60,60]","[0.225,0.864,1.15,1.401,1.181]"
2016-11-04T13:59:23+01:00,"[60,60,60,60,60,60,60]","[2.349,3.048,2.654,3.125,3.006,2.256,1.132]"
2016-11-04T13:56:23+01:00,[60],[0.208]
2016-11-04T13:48:23+01:00,"[60,60,60,60,60,60]","[0.27,2.302,1.809,3.001,2.813,0.202]"
2016-11-04T13:36:23+01:00,"[60,60,60,60]","[0.189,0.627,0.626,0.182]"
2016-11-04T12:51:35+01:00,"[60,60]","[0.394,2.539]"
2016-11-04T02:38:35+01:00,"[60,60,60]","[1.196,1.507,0.394]"
2016-11-04T02:28:35+01:00,"[60,60]","[0.632,0.486]"
2016-11-03T22:58:35+01:00,[60],[0.178]
2016-11-03T22:48:35+01:00,"[60,60]","[0.208,0.937]"
2016-11-03T22:05:35+01:00,"[60,60,60,60,60,60,60,60]","[0.507,2.402,2.925,2.83,2.926,2.488,3.156,1.404]"
2016-11-03T13:19:35+01:00,"[60,60,60,60,60,60,60,60,60]","[0.972,2.589,3.186,0.532,1.716,3.544,3.343,3.205,1.815]"
2016-11-03T13:11:35+01:00,"[60,60,60]","[1.237,1.706,0.654]"
2016-11-03T00:27:46+01:00,"[60,60,60]","[0.898,1.26,0.646]"
2016-11-02T23:30:46+01:00,"[60,60,60,60,60,60,60,60]","[0.5,2.97,2.633,3.154,3.008,2.731,3.22,0.503]"
2016-11-02T18:57:46+01:00,[60],[0.189]
2016-11-02T14:32:46+01:00,"[60,60,60,60,60,60]","[1.402,3.19,3.309,2.355,2.802,1.066]"
2016-11-02T14:24:46+01:00,"[60,60,60,60,60,60]","[2.403,2.639,0.991,1.26,2.849,1.856]"
2016-11-02T14:13:46+01:00,"[60,60,60,60]","[0.196,0.419,0.715,1.504]"
2016-11-01T23:42:46+01:00,"[60,60,60,60,60]","[1.311,3.279,2.621,2.485,0.726]"
2016-11-01T23:30:46+01:00,"[60,60,60,60,60,60,60]","[1.287,1.495,2.914,3.104,2.812,3.33,0.053]"
2016-11-01T23:26:46+01:00,"[60,60]","[2.112,1.165]"
2016-11-01T14:45:46+01:00,"[60,60,60,60,60]","[1.503,3.68,3.259,3.514,1.09]"
2016-11-01T14:41:46+01:00,[60],[0.336]
2016-11-01T14:34:46+01:00,"[60,60]","[1.669,2.093]"
2016-11-01T14:30:46+01:00,"[60,60]","[1.49,1.649]"
2016-11-01T14:23:53+01:00,[60],[2.063]
2016-11-01T14:22:26+01:00,[60],[0.186]
2016-10-31T21:54:26+01:00,"[60,60,60]","[2.225,1.233,0.054]"
2016-10-31T21:44:26+01:00,"[60,60,60,60,60]","[3.13,2.766,2.975,3.106,2.295]"
2016-10-31T21:43:29+01:00,[60],[3.279]
2016-10-31T21:42:29+01:00,[60],[2.989]
2016-10-31T21:41:00+01:00,[60],[0.634]
2016-10-31T14:28:03+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[2.338,3.621,3.239,2.958,2.678,0.247,3.194,3.339,2.932,1.96,2.813]"
2016-10-31T14:16:03+01:00,"[60,60,60]","[0.221,0.703,2.061]"
2016-10-30T19:59:09+01:00,"[60,60,60,60]","[1.207,2.781,2.222,0.685]"
2016-10-30T19:55:09+01:00,[60],[1.344]
2016-10-30T19:13:09+01:00,"[60,60]","[0.715,0.314]"
2016-10-30T19:11:09+01:00,[60],[0.242]
2016-10-30T18:57:09+01:00,"[60,60,60]","[0.186,2.483,1.395]"
2016-10-30T18:47:09+01:00,"[60,60,60,60,60,60,60,60]","[2.307,2.834,1.06,3.054,0.991,2.643,3.164,0.821]"
2016-10-30T14:19:09+01:00,[60],[0.178]
2016-10-30T14:16:09+01:00,"[60,60]","[0.644,0.835]"
2016-10-30T13:53:09+01:00,"[60,60]","[1.008,1.991]"
2016-10-30T12:49:09+01:00,[60],[1.399]
2016-10-30T12:36:09+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[1.853,0.612,2.69,2.771,2.287,2.426,2.54,2.492,2.152,2.548,1.697,0.367]"
2016-10-30T12:31:09+01:00,"[60,60,60,60]","[0.466,0.631,1.732,0.168]"
2016-10-30T10:57:41+01:00,"[60,60]","[1.348,0.057]"
2016-10-30T04:13:41+01:00,[60],[0.28]
2016-10-30T02:14:41+01:00,[60],[0.367]
2016-09-28T03:19:36+02:00,"[60,60]","[0.154,0.438]"
2016-09-28T02:37:36+02:00,"[60,60,60,60]","[0.381,1.084,1.626,0.7]"
2016-09-28T02:07:36+02:00,"[60,60,60]","[0.543,0.914,1.301]"
2016-09-27T23:14:36+02:00,"[60,60]","[1.436,1.346]"
2016-09-27T22:02:36+02:00,"[60,60,60]","[1.33,0.543,0.123]"
2016-09-27T22:01:37+02:00,[60],[1.124]
2016-09-27T21:47:37+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[2.535,2.885,2.906,2.88,2.826,2.88,2.88,2.826,2.88,2.88,2.935,3.073,2.923,0.842]"
2016-09-27T21:16:37+02:00,"[60,60,60,60,60]","[0.335,0.197,1.455,1.956,0.478]"
2016-09-27T21:07:38+02:00,[60],[1.463]
2016-09-27T20:51:38+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.679,1.131,3.037,2.683,2.841,2.704,2.719,2.714,2.819,2.642,2.758,2.845,2.902,2.737,2.1]"
2016-09-27T20:03:38+02:00,[60],[0.173]
2016-09-27T18:29:38+02:00,"[60,60,60]","[0.294,2.172,0.536]"
2016-09-27T18:22:38+02:00,"[60,60,60,60]","[0.18,0.135,1.205,0.215]"
2016-09-27T18:14:39+02:00,[60],[0.255]
2016-09-27T18:10:19+02:00,"[60,60,60,60]","[0.695,3.057,2.405,0.695]"
2016-09-27T16:21:10+02:00,[60],[0.634]
2016-09-27T16:19:42+02:00,[60],[0.818]
2016-09-23T00:57:42+02:00,"[60,60,60,60]","[1.199,1.151,2.093,0.284]"
2016-09-23T00:43:42+02:00,[60],[1.804]
2016-09-23T00:40:42+02:00,"[60,60]","[0.327,0.822]"
2016-09-23T00:36:42+02:00,"[60,60]","[1.618,1.734]"
2016-09-23T00:28:42+02:00,"[60,60,60]","[1.954,3.054,0.575]"
2016-09-22T23:41:42+02:00,"[60,60,60,60,60,60,60,60]","[0.215,2.494,3.056,2.852,2.534,3.032,2.258,2.424]"
2016-09-22T23:17:42+02:00,[60],[0.573]
2016-09-22T23:02:42+02:00,"[60,60,60,60,60,60,60,60,60]","[0.31,1.557,1.752,2.736,3.094,3.043,1.391,2.963,0.936]"
2016-09-22T23:00:42+02:00,[60],[0.777]
2016-09-22T22:59:42+02:00,[60],[0.493]
2016-09-22T22:53:42+02:00,"[60,60]","[0.232,1.376]"
2016-09-22T22:46:42+02:00,[60],[0.303]
2016-09-22T22:40:42+02:00,[60],[0.455]
2016-09-22T22:25:42+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[2.603,2.286,2.82,1.452,3.019,3.19,3.161,3.209,0.976,0.435,0.584,0.936]"
2016-09-22T22:10:42+02:00,"[60,60,60,60,60]","[0.155,0.39,0.118,0.136,0.162]"
2016-09-22T22:06:42+02:00,[60],[0.163]
2016-09-22T21:47:56+02:00,[60],[0.483]
2016-09-22T21:46:30+02:00,[60],[1.793]
2016-09-15T00:23:30+02:00,"[60,60]","[0.926,0.751]"
2016-09-15T00:20:30+02:00,"[60,60]","[1.285,0.651]"
2016-09-15T00:06:30+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0.986,3.246,2.489,3.118,0.46,1.374,0.161,2.208,3.081,2.931,0.763]"
2016-09-14T23:42:30+02:00,[60],[0.255]
2016-09-14T23:40:30+02:00,[60],[0.57]
2016-09-14T23:33:30+02:00,"[60,60,60,60]","[0.855,1.254,1.963,0.162]"
2016-09-10T06:12:30+02:00,"[60,60,60]","[0.755,0.666,2.189]"
2016-09-10T06:03:30+02:00,"[60,60,60,60,60]","[2.992,0.26,1.304,0.211,1.004]"
2016-09-10T06:00:30+02:00,[60],[0.646]
2016-09-10T05:57:30+02:00,"[60,60]","[1.845,0.467]"
2016-09-10T04:27:30+02:00,"[60,60]","[0.844,0.293]"
2016-09-10T04:20:30+02:00,"[60,60]","[0.378,2.347]"
2016-09-06T03:52:37+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[2.667,2.686,2.711,2.765,2.688,2.67,2.785,2.625,2.594,2.687,2.677,2.626,2.774,2.829,2.346,2.64,2.584,2.685,2.567,1.618,1.562]"
2016-09-06T03:48:37+02:00,"[60,60,60]","[0.672,1.2,1.051]"
