start,duration,value
2025-03-30T23:51:19+02:00,[259],[119.936]
2025-03-31T00:05:21+02:00,"[56,34]","[29.253,19.014]"
2025-03-31T00:10:26+02:00,[8],[10.97]
2025-03-31T00:10:34+02:00,"[599,59,59,59,59,59,59,59,59,59,36,2,59,59,59,59,59,59,59,59,59,599,600,59,59,5,600,59]","[747.404,71.669,71.669,70.938,74.594,70.206,70.206,64.355,73.131,68.012,43.148,3.432,36.566,65.087,65.818,69.475,69.475,64.355,67.281,73.863,70.938,652.333,679.391,73.863,68.744,6.582,631.125,63.624]"
2025-03-31T01:13:05+02:00,"[11,2]","[15.358,2.194]"
2025-03-31T01:13:21+02:00,[23],[24.133]
2025-03-31T01:14:48+02:00,[59],[68.744]
2025-03-31T01:15:49+02:00,"[59,21,599,59,57]","[70.938,25.596,655.989,70.206,56.311]"
2025-03-31T01:29:06+02:00,"[59,59,59,59,59,15]","[74.594,67.281,55.58,74.594,71.669,9.507]"
2025-03-31T01:34:29+02:00,"[3,31,2,59,56]","[14.037,35.834,3.432,68.744,53.386]"
2025-03-31T01:37:03+02:00,"[59,36]","[68.012,46.073]"
2025-03-31T01:39:03+02:00,"[600,59,59]","[711.569,62.162,70.938]"
2025-03-31T01:51:09+02:00,"[59,59,59]","[73.131,69.475,74.594]"
2025-03-31T01:54:08+02:00,"[59,59,59,49,2]","[80.445,74.594,74.594,63.624,1.463]"
2025-03-31T01:58:01+02:00,"[59,59,10]","[68.744,20.477,13.895]"
2025-03-31T02:00:15+02:00,"[599,59,59,49,5,59,59,59,15]","[750.329,69.475,77.519,55.58,4.388,70.206,74.594,76.788,25.743]"
2025-03-31T02:16:31+02:00,"[599,24]","[666.228,29.984]"
2025-03-31T02:28:03+02:00,"[59,59,59]","[78.982,77.519,73.863]"
2025-03-31T02:31:12+02:00,"[59,59,59,59,31]","[76.788,75.325,72.4,74.594,37.297]"
2025-03-31T02:35:52+02:00,"[59,59,38]","[70.206,73.131,42.416]"
2025-03-31T02:39:27+02:00,"[59,36]","[80.445,41.685]"
2025-03-31T02:41:22+02:00,[44],[7.313]
2025-03-31T02:42:34+02:00,[59],[29.984]
2025-03-31T02:45:00+02:00,[3],[3.657]
2025-03-31T02:46:17+02:00,[523],[53.386]
2025-03-31T02:58:27+02:00,[13],[10.97]
2025-03-31T03:01:47+02:00,[3],[2.194]
2025-03-31T04:05:23+02:00,[3],[34]
2025-03-31T05:38:48+02:00,[163],[52.655]
2025-03-31T05:39:06+02:00,[54],[20.477]
2025-03-29T21:49:07+01:00,[3],[12.633]
2025-03-29T21:50:37+01:00,[3],[2.925]
2025-03-29T22:33:20+01:00,[118],[61.43]
2025-03-29T22:46:29+01:00,[8],[20.702]
2025-03-29T23:50:23+01:00,[3],[7.886]
2025-03-30T00:31:44+01:00,[2],[18.247]
2025-03-30T00:32:47+01:00,[15],[18.283]
2025-03-30T04:40:38+02:00,[528],[125.786]
2025-03-30T05:20:42+02:00,[3],[2.925]
2025-03-30T05:21:23+02:00,[10],[5.851]
2025-03-30T05:22:02+02:00,[5],[3.657]
2025-03-30T05:22:50+02:00,[11],[6.582]
2025-03-30T05:26:38+02:00,[3],[1.463]
2025-03-30T05:29:25+02:00,[3],[7.886]
2025-03-30T05:30:50+02:00,[20],[7.313]
2025-03-30T05:32:06+02:00,[16],[7.313]
2025-03-30T05:35:21+02:00,[16],[15.358]
2025-03-30T05:36:59+02:00,[12],[6.582]
2025-03-30T05:37:29+02:00,"[59,31]","[13.164,20.477]"
2025-03-30T05:41:07+02:00,[5],[9.439]
2025-03-30T05:47:03+02:00,[6],[28.074]
2025-03-30T05:47:11+02:00,[10],[5.119]
2025-03-30T05:48:18+02:00,[43],[38.028]
2025-03-30T05:49:40+02:00,[2],[3.432]
2025-03-30T05:59:21+02:00,[3],[2.194]
2025-03-30T06:02:44+02:00,[20],[20.477]
2025-03-30T06:05:18+02:00,"[59,59,59,58,6,59,58,44]","[69.475,75.325,53.386,73.863,6.582,28.521,24.865,33.64]"
2025-03-30T06:12:15+02:00,"[3,5]","[7.886,2.925]"
2025-03-30T06:14:21+02:00,[3],[5.149]
2025-03-30T06:15:46+02:00,"[599,600,28,3,599,59,59,59,59,59,59,23,600,59,5,5,59,59,59,59,58,59,59,3,59,59,59,54]","[760.567,662.571,31.447,2.925,665.496,69.475,70.938,59.236,78.982,78.982,77.519,29.253,715.957,73.863,5.851,6.582,70.938,73.131,70.938,59.968,70.938,62.162,70.938,3.657,69.475,70.206,69.475,64.355]"
2025-03-30T07:15:00+02:00,"[59,18,2,59,44]","[74.594,20.477,2.194,72.4,53.386]"
2025-03-30T07:18:17+02:00,[36],[46.804]
2025-03-30T07:19:31+02:00,"[13,59,59,59,59,59,18]","[23.169,71.669,71.669,69.475,71.669,63.624,21.939]"
2025-03-30T07:25:02+02:00,"[3,59,59,51]","[2.925,62.893,68.744,57.043]"
2025-03-30T07:28:48+02:00,[23],[26.327]
2025-03-30T07:30:45+02:00,"[59,29]","[59.236,32.909]"
2025-03-30T07:32:18+02:00,"[59,59,51,59,59,59,59,59,38,59,59,59,51,600,59,20,3,59,59,59,58,59,59,59,59,51,6,59,59,58,3,59,59,59,59]","[68.012,70.938,62.162,71.669,70.206,69.475,67.281,70.206,46.073,74.594,75.325,65.818,54.117,665.496,77.519,25.596,2.925,78.251,70.206,76.057,51.192,73.863,69.475,74.594,76.788,67.281,6.582,74.594,62.893,75.325,2.925,76.057,74.594,76.057,67.281]"
2025-03-30T08:11:43+02:00,[18],[21.208]
2025-03-30T08:12:55+02:00,[25],[32.909]
2025-03-30T08:13:26+02:00,"[58,59,59]","[76.788,76.057,72.4]"
2025-03-30T08:16:25+02:00,"[59,18,59,59,10]","[76.057,20.477,74.594,71.669,10.97]"
2025-03-30T08:20:00+02:00,[59],[73.863]
2025-03-30T08:21:04+02:00,"[59,31,59,59,59,7,59,8]","[54.117,42.416,76.788,76.788,46.073,8.776,70.938,8.044]"
2025-03-30T08:27:59+02:00,[323],[76.057]
2025-03-30T15:24:22+02:00,[141],[19.745]
2025-03-30T15:38:59+02:00,[56],[30.715]
2025-03-30T20:55:43+02:00,[7],[7.313]
2025-03-30T21:11:33+02:00,[13],[6.582]
2025-03-30T21:11:49+02:00,"[2,3]","[8.422,1.463]"
2025-03-30T21:12:55+02:00,[3],[2.194]
2025-03-30T21:14:02+02:00,[3],[14.037]
2025-03-30T23:31:19+02:00,[2],[23]
2025-03-30T23:51:33+02:00,[6],[5.119]
2025-03-30T23:52:07+02:00,[28],[8.044]
2025-03-30T23:54:12+02:00,"[59,13]","[29.984,2.194]"
2025-03-28T20:10:09+01:00,[49],[35.103]
2025-03-28T20:23:31+01:00,[3],[14.037]
2025-03-28T20:44:14+01:00,[495],[110.429]
2025-03-28T20:56:58+01:00,[74],[27.79]
2025-03-28T21:23:42+01:00,[3],[7.886]
2025-03-28T21:38:52+01:00,[2],[3.432]
2025-03-28T22:14:01+01:00,[26],[9.507]
2025-03-28T22:12:18+01:00,[12],[21.453]
2025-03-28T23:15:47+01:00,[33],[27.059]
2025-03-29T00:37:01+01:00,[484],[30.715]
2025-03-29T00:59:55+01:00,[2],[2.194]
