start,duration,value
2025-03-31T02:39:33+02:00,[85],[0]
2025-03-31T02:37:24+02:00,[41],[0]
2025-03-31T02:36:31+02:00,[36],[0]
2025-03-31T02:35:56+02:00,[19],[0]
2025-03-31T02:31:22+02:00,[253],[0]
2025-03-31T02:28:07+02:00,[171],[0]
2025-03-31T02:25:52+02:00,[58],[0]
2025-03-31T02:22:50+02:00,[164],[0]
2025-03-31T02:21:46+02:00,[49],[0]
2025-03-31T02:19:58+02:00,[95],[0]
2025-03-31T02:16:34+02:00,[139],[0.01]
2025-03-31T02:00:43+02:00,"[300,299,300,37]","[0,0,0,0]"
2025-03-31T01:58:07+02:00,[40],[0]
2025-03-31T01:56:53+02:00,[61],[0]
2025-03-31T01:49:25+02:00,[299],[0]
2025-03-31T01:44:04+02:00,[299],[0]
2025-03-31T01:39:04+02:00,[297],[0]
2025-03-31T01:36:45+02:00,[111],[0]
2025-03-31T01:34:34+02:00,[96],[0]
2025-03-31T01:31:57+02:00,[123],[0]
2025-03-31T01:22:05+02:00,"[299,272]","[0,0.01]"
2025-03-31T01:19:25+02:00,[147],[0]
2025-03-31T01:14:55+02:00,[255],[0]
2025-03-31T01:09:10+02:00,[154],[0]
2025-03-31T01:02:55+02:00,[294],[0]
2025-03-31T00:57:03+02:00,"[300,33]","[0,0]"
2025-03-31T00:47:14+02:00,"[299,255]","[0,0]"
2025-03-31T00:42:14+02:00,[298],[0]
2025-03-31T00:37:56+02:00,[28],[0]
2025-03-31T00:36:37+02:00,[55],[0]
2025-03-31T00:30:26+02:00,[298],[0]
2025-03-31T00:25:27+02:00,[296],[0]
2025-03-31T00:16:57+02:00,"[300,194]","[0,0]"
2025-03-31T00:10:27+02:00,"[300,69]","[0,0]"
2025-03-30T23:54:15+02:00,[22],[0.08]
2025-03-30T08:25:16+02:00,[89],[0]
2025-03-30T08:21:43+02:00,[179],[0]
2025-03-30T08:20:08+02:00,[64],[0]
2025-03-30T08:16:22+02:00,[209],[0]
2025-03-30T08:13:00+02:00,[185],[0]
2025-03-30T08:06:05+02:00,"[300,24]","[0,0]"
2025-03-30T08:04:24+02:00,[85],[0]
2025-03-30T07:59:23+02:00,[300],[0]
2025-03-30T07:49:40+02:00,"[300,247]","[0,0]"
2025-03-30T07:47:05+02:00,[83],[0]
2025-03-30T07:45:49+02:00,[60],[0]
2025-03-30T07:44:17+02:00,[72],[0]
2025-03-30T07:43:41+02:00,[20],[0]
2025-03-30T07:38:28+02:00,[297],[0]
2025-03-30T07:37:19+02:00,[40],[0]
2025-03-30T07:34:51+02:00,[43],[0]
2025-03-30T07:32:36+02:00,[35],[0]
2025-03-30T07:30:52+02:00,[36],[0]
2025-03-30T07:27:28+02:00,[20],[0]
2025-03-30T07:25:12+02:00,[30],[0]
2025-03-30T07:19:37+02:00,[169],[0]
2025-03-30T07:15:52+02:00,[127],[0]
2025-03-30T07:15:08+02:00,[25],[0]
2025-03-30T07:14:01+02:00,[18],[0]
2025-03-30T07:05:20+02:00,"[299,172]","[0,0]"
2025-03-30T07:00:20+02:00,[299],[0]
2025-03-30T06:59:00+02:00,[47],[0]
2025-03-30T06:58:22+02:00,[16],[0]
2025-03-30T06:56:22+02:00,[109],[0]
2025-03-30T06:48:33+02:00,"[300,158]","[0,0]"
2025-03-30T06:43:45+02:00,[47],[0]
2025-03-30T06:40:08+02:00,[76],[0]
2025-03-30T06:36:36+02:00,[201],[0]
2025-03-30T06:35:18+02:00,[48],[0]
2025-03-30T06:30:18+02:00,[299],[0]
2025-03-30T06:15:51+02:00,"[299,300,181]","[0,0,0]"
2025-03-30T06:07:57+02:00,[104],[0]
2025-03-30T06:05:27+02:00,[125],[0]
2025-03-29T04:41:04+01:00,[80],[0]
2025-03-29T04:37:14+01:00,[199],[0]
2025-03-29T04:22:44+01:00,"[299,236]","[0,0]"
2025-03-29T04:17:43+01:00,[300],[0]
2025-03-29T04:09:43+01:00,"[299,153]","[0,0]"
2025-03-29T04:05:30+01:00,[201],[0]
2025-03-29T03:59:30+01:00,[295],[0]
2025-03-29T03:54:41+01:00,[97],[0]
2025-03-29T03:49:02+01:00,[298],[0]
2025-03-29T03:43:26+01:00,"[299,21]","[0,0]"
2025-03-29T03:40:58+01:00,[128],[0]
2025-03-29T03:35:56+01:00,[300],[0.01]
2025-03-29T03:33:25+01:00,[125],[0]
2025-03-29T03:30:12+01:00,[141],[0]
2025-03-29T03:25:42+01:00,[209],[0.01]
2025-03-29T03:21:32+01:00,[190],[0]
2025-03-29T03:20:53+01:00,[14],[0]
2025-03-29T03:16:44+01:00,[206],[0]
2025-03-29T03:11:57+01:00,[268],[0]
2025-03-29T03:08:06+01:00,[71],[0]
2025-03-29T03:05:58+01:00,[110],[0]
2025-03-29T03:04:45+01:00,[36],[0]
2025-03-29T02:57:18+01:00,"[299,38]","[0,0]"
2025-03-29T02:55:21+01:00,[20],[0]
2025-03-29T02:46:14+01:00,"[299,151]","[0,0]"
2025-03-29T02:40:40+01:00,[126],[0]
2025-03-29T02:35:03+01:00,[60],[0]
2025-03-29T02:34:21+01:00,[21],[0]
2025-03-29T02:32:34+01:00,[17],[0]
2025-03-29T02:28:53+01:00,[21],[0]
2025-03-29T02:28:19+01:00,[14],[0]
2025-03-29T02:27:03+01:00,[12],[0]
2025-03-29T02:23:59+01:00,[158],[0]
2025-03-29T02:15:33+01:00,"[299,192]","[0,0]"
2025-03-29T02:12:34+01:00,[106],[0]
2025-03-29T02:02:26+01:00,"[299,293]","[0,0]"
2025-03-29T02:00:59+01:00,[70],[0]
2025-03-29T01:55:59+01:00,[299],[0]
2025-03-29T01:47:27+01:00,[24],[0]
2025-03-28T07:21:16+01:00,[262],[0]
2025-03-28T07:12:28+01:00,"[300,129]","[0,0]"
2025-03-28T07:11:35+01:00,[41],[0]
2025-03-28T07:08:47+01:00,[155],[0]
2025-03-28T07:06:44+01:00,[84],[0]
2025-03-28T07:05:33+01:00,[43],[0]
2025-03-28T07:02:45+01:00,[131],[0]
2025-03-28T07:01:36+01:00,[49],[0]
2025-03-28T06:56:06+01:00,[295],[0]
2025-03-28T06:50:07+01:00,[299],[0]
2025-03-28T06:48:45+01:00,[44],[0]
2025-03-28T06:46:56+01:00,[84],[0]
2025-03-28T06:43:15+01:00,[176],[0]
2025-03-28T06:41:11+01:00,[77],[0]
2025-03-28T06:36:12+01:00,[298],[0]
2025-03-28T06:33:48+01:00,[69],[0]
2025-03-28T06:24:16+01:00,"[299,208]","[0,0]"
2025-03-28T06:22:26+01:00,[43],[0]
2025-03-28T06:19:00+01:00,[178],[0]
2025-03-28T06:15:53+01:00,[144],[0]
2025-03-28T06:05:17+01:00,"[299,299]","[0,0]"
2025-03-28T06:04:28+01:00,[33],[0]
2025-03-28T05:59:51+01:00,[247],[0]
2025-03-28T05:55:35+01:00,[109],[0]
2025-03-28T05:54:54+01:00,[16],[0]
2025-03-28T05:46:21+01:00,[278],[0]
2025-03-28T05:43:09+01:00,[50],[0]
2025-03-28T05:42:09+01:00,[27],[0]
2025-03-28T05:37:10+01:00,[83],[0]
2025-03-28T05:30:00+01:00,"[300,87]","[0,0]"
2025-03-28T05:27:53+01:00,[26],[0]
2025-03-28T05:25:47+01:00,[90],[0]
2025-03-28T05:21:35+01:00,[198],[0]
2025-03-28T05:20:01+01:00,[64],[0]
2025-03-28T05:00:12+01:00,[291],[0]
2025-03-28T04:56:29+01:00,[120],[0]
2025-03-28T04:54:36+01:00,[86],[0]
2025-03-27T06:00:06+01:00,[83],[0]
2025-03-27T05:58:14+01:00,[68],[0]
2025-03-27T05:50:01+01:00,[300],[0]
2025-03-27T05:49:23+01:00,[23],[0]
2025-03-27T05:44:24+01:00,[298],[0]
2025-03-27T05:41:13+01:00,[180],[0]
2025-03-27T05:31:33+01:00,[275],[0.01]
2025-03-27T05:27:14+01:00,[244],[0]
2025-03-27T05:26:31+01:00,[31],[0]
2025-03-27T05:14:26+01:00,[299],[0]
2025-03-27T05:12:22+01:00,[104],[0.07]
2025-03-27T05:07:22+01:00,[296],[0.01]
2025-03-27T03:49:36+01:00,[122],[0]
2025-03-27T03:35:34+01:00,"[300,299,160]","[0,0,0]"
2025-03-26T04:36:36+01:00,[85],[0]
2025-03-26T04:32:00+01:00,[197],[0]
2025-03-26T04:29:49+01:00,[54],[0]
2025-03-26T04:23:29+01:00,[275],[0]
2025-03-26T04:13:31+01:00,[299],[0]
2025-03-26T04:08:30+01:00,[296],[0]
2025-03-26T03:01:21+01:00,[23],[0]
2025-03-26T02:46:12+01:00,[20],[0]
2025-03-26T02:45:30+01:00,[18],[0]
2025-03-26T02:39:57+01:00,[262],[0]
2025-03-26T02:39:17+01:00,[18],[0]
2025-03-26T02:37:26+01:00,[71],[0]
2025-03-26T02:32:34+01:00,[255],[0]
2025-03-26T02:30:55+01:00,[87],[0]
2025-03-25T04:55:04+01:00,[48],[0.1]
2025-03-25T01:51:34+01:00,[31],[0.1]
2025-03-25T01:38:33+01:00,[22],[0.12]
2025-03-25T01:05:36+01:00,[20],[0]
2025-03-25T01:02:55+01:00,[28],[0.08]
2025-03-25T01:00:31+01:00,[22],[0]
2025-03-25T00:37:16+01:00,[15],[0.18]
2025-03-25T00:30:51+01:00,[16],[0]
2025-03-25T00:13:34+01:00,[19],[0]
2025-03-25T00:07:40+01:00,[29],[0.06]
2025-03-25T00:06:36+01:00,[49],[0]
2025-03-24T23:57:32+01:00,[85],[0]
2025-03-24T23:54:11+01:00,[19],[0.1]
2025-03-24T23:48:01+01:00,[37],[0.05]
2025-03-24T23:38:55+01:00,[34],[0.04]
2025-03-24T23:11:01+01:00,[35],[0]
2025-03-24T22:56:14+01:00,[97],[0.01]
2025-03-24T22:49:57+01:00,[79],[0]
2025-03-24T20:50:15+01:00,[30],[0.17]
2025-03-24T06:03:30+01:00,[84],[0]
2025-03-24T05:48:44+01:00,"[300,299,244]","[0,0,0]"
2025-03-24T05:44:37+01:00,[205],[0]
2025-03-24T05:42:02+01:00,[133],[0]
2025-03-24T05:38:08+01:00,[215],[0]
2025-03-24T05:36:10+01:00,[108],[0]
2025-03-24T05:23:09+01:00,"[299,300,42]","[0,0,0]"
2025-03-24T05:20:00+01:00,[162],[0]
2025-03-24T05:14:35+01:00,[204],[0]
2025-03-24T05:12:07+01:00,[126],[0.01]
2025-03-24T05:07:07+01:00,[299],[0]
2025-03-24T05:01:19+01:00,"[300,35]","[0,0]"
2025-03-24T04:57:03+01:00,[131],[0]
2025-03-24T04:56:34+01:00,[14],[0.09]
2025-03-24T04:36:43+01:00,"[300,299,299,217]","[0,0,0,0]"
2025-03-24T02:11:26+01:00,"[299,297]","[0,0]"
2025-03-24T02:09:00+01:00,[57],[0]
2025-03-24T02:03:49+01:00,[280],[0]
2025-03-24T01:57:08+01:00,[178],[0]
2025-03-24T01:54:25+01:00,[102],[0]
2025-03-24T01:41:56+01:00,"[299,300,125]","[0,0,0]"
2025-03-24T01:38:54+01:00,[163],[0]
2025-03-24T01:34:34+01:00,[210],[0]
2025-03-24T01:29:28+01:00,[299],[0]
2025-03-24T01:26:19+01:00,[149],[0]
2025-03-24T01:16:57+01:00,"[300,224]","[0,0]"
2025-03-24T01:05:51+01:00,[15],[0]
2025-03-24T01:01:34+01:00,[145],[0]
2025-03-24T01:00:33+01:00,[11],[0]
2025-03-24T00:54:14+01:00,[262],[0]
2025-03-24T00:53:04+01:00,[55],[0]
2025-03-24T00:52:37+01:00,[14],[0]
2025-03-24T00:52:09+01:00,[14],[0]
2025-03-24T00:49:11+01:00,[147],[0]
2025-03-24T00:39:51+01:00,"[300,243]","[0,0]"
2025-03-24T00:39:00+01:00,[22],[0]
2025-03-24T00:38:13+01:00,[30],[0]
2025-03-24T00:21:57+01:00,[21],[0.07]
2025-03-24T00:03:09+01:00,[33],[0.06]
2025-03-23T21:18:58+01:00,[23],[0]
2025-03-23T20:29:40+01:00,[25],[0]
2025-03-23T06:25:38+01:00,[85],[0]
2025-03-23T06:24:13+01:00,[61],[0]
2025-03-23T06:22:27+01:00,[85],[0]
2025-03-23T06:15:32+01:00,"[299,105]","[0,0]"
2025-03-23T06:13:30+01:00,[85],[0]
2025-03-23T06:11:18+01:00,[114],[0]
2025-03-23T06:06:44+01:00,[241],[0]
