Date,"Weight (lb)","Fat mass (lb)","Bone mass (lb)","Muscle mass (lb)","Hydration (lb)",Comments
"2025-03-30 12:09:03",173.5,39.9,6.7,126.9,90.5,
"2025-03-30 11:59:41",174.6,40.7,6.7,127.1,90.8,
"2025-03-30 06:04:53",175.2,40.6,6.7,127.9,91.4,
"2025-03-29 14:15:59",174.7,37.1,6.9,130.7,93.7,
"2025-03-29 09:40:10",174.5,40.3,6.7,127.4,91,
"2025-03-28 08:35:21",175.4,41.2,6.7,127.5,91.1,
"2025-03-27 09:41:17",175.1,40.4,6.7,128,91.4,
"2025-03-26 09:36:16",175.1,39.7,6.7,128.6,92,
"2025-03-25 12:16:04",175.9,37.7,6.9,131.3,94.2,
"2025-03-25 08:14:29",176.7,40.5,6.8,129.4,92.6,
"2025-03-24 08:21:52",175.8,39.6,6.8,129.4,92.6,
"2025-03-23 08:07:21",175,39.8,6.7,128.4,91.8,
"2025-03-22 09:52:17",175.6,40.1,6.7,128.7,92,
"2025-03-21 08:09:09",175.1,40.9,6.7,127.5,91.1,
"2025-03-20 08:14:38",175.2,40.5,6.7,127.9,91.4,
"2025-03-20 08:14:05",175,40.8,6.7,127.5,91.1,
"2025-03-18 05:50:54",175.3,43.9,6.6,124.8,89.2,
"2025-03-17 10:44:25",174.5,,,,,
"2025-03-17 10:43:13",172.9,43.1,6.5,123.1,87.9,
"2025-03-17 07:56:12",173.3,43.3,6.5,123.5,88.1,
"2025-03-16 05:40:39",176.1,42.7,6.7,126.7,90.6,
"2025-03-15 07:35:18",176.9,43,6.7,127.1,91,
"2025-03-14 08:57:15",176.2,42.7,6.7,126.8,90.7,
"2025-03-13 08:49:32",178,41.7,6.8,129.4,92.7,
"2025-03-12 05:46:31",180.3,42.4,6.9,131,94,
"2025-03-11 09:58:14",179.9,43.1,6.8,130,93.2,
"2025-03-10 08:07:14",179.3,43.5,6.8,129,92.5,
"2025-03-09 07:13:41",179.3,42.6,6.8,129.8,93.1,
"2025-03-08 08:12:28",179.7,44,6.8,128.9,92.5,
"2025-03-07 07:05:59",179.8,44.6,6.7,128.3,92.1,
"2025-03-06 06:37:08",179.6,45.3,6.7,127.6,91.6,
"2025-03-05 07:01:08",179.7,44.8,6.7,128.1,91.9,
"2025-03-04 07:51:11",180.9,46.4,6.7,127.7,91.8,
"2025-03-03 11:50:40",180,44.4,6.8,128.8,92.4,
"2025-03-03 11:37:20",181.7,44.3,6.9,130.5,93.8,
"2025-03-03 09:14:12",180.1,46.5,6.7,126.9,91.2,
"2025-03-02 06:27:29",180.8,45.8,6.7,128.3,92.2,
"2025-03-01 06:06:31",181,44.2,6.8,129.9,93.3,
"2025-02-26 11:32:02",187,,,,,
"2025-02-26 11:31:33",185.4,,,,,
"2025-02-26 11:30:59",187,,,,,
"2025-02-26 11:30:28",185.3,,,,,
"2025-02-26 07:09:24",181.5,45.6,6.8,129.1,92.8,
"2025-02-25 07:10:31",181,,,,,
"2025-02-24 08:39:20",180.8,47.3,6.7,126.8,91.2,
"2025-02-23 09:04:16",180.5,46,6.7,127.8,91.8,
"2025-02-22 05:57:43",182.1,46.8,6.8,128.5,92.4,
"2025-02-21 08:58:13",181.9,45.9,6.8,129.2,92.9,
"2025-02-20 07:24:59",184.2,45.5,6.9,131.7,94.8,
"2025-02-19 09:22:26",183.4,45.8,6.9,130.7,94,
"2025-02-18 06:09:52",183.9,47.4,6.8,129.7,93.5,
